Laptop Brand,RAM_GB,Storage,Extracted Processor,Conditions,Prices,Regions
HP,8.0,SSD,I5,Used,3480,Greater Accra
HP,8.0,SSD,I5,Used,3500,Greater Accra
HP,16.0,SSD,I7,Used,4500,Greater Accra
HP,4.0,HDD,I5,Used,1200,Ashanti
HP,8.0,HDD,I7,Used,3250,Greater Accra
HP,4.0,HDD,I3,Brand New,1900,Greater Accra
Lenovo,20.0,SSD,I7,Used,4000,Greater Accra
HP,8.0,SSD,I7,Brand New,15000,Greater Accra
Lenovo,24.0,SSD,I7,Used,7700,Greater Accra
HP,8.0,SSD,I7,Used,6000,Greater Accra
Dell,4.0,HDD,I7,Used,1300,Greater Accra
Acer,16.0,SSD,I7,Brand New,8499,Greater Accra
Dell,16.0,SSD,I7,Used,3400,Greater Accra
Asus,8.0,HDD,I7,Used,3500,Greater Accra
Asus,4.0,HDD,I3,Used,1699,Greater Accra
Dell,8.0,HDD,I5,Used,1750,Ashanti
Dell,8.0,SSD,I7,Used,3800,Greater Accra
Dell,8.0,HDD,I5,Used,1950,Ashanti
Lenovo,16.0,SSD,I7,Used,8500,Greater Accra
HP,8.0,SSD,I5,Used,3700,Greater Accra
Lenovo,8.0,SSD,I5,Used,4999,Greater Accra
Lenovo,4.0,HDD,I5,Used,850,Greater Accra
Lenovo,8.0,SSD,I5,Used,7000,Greater Accra
Dell,8.0,HDD,I5,Used,800,Ashanti
HP,12.0,SSD,I5,Brand New,10800,Greater Accra
HP,8.0,SSD,I7,Used,5200,Greater Accra
Dell,8.0,HDD,I5,Used,2299,Western Region
HP,8.0,SSD,I5,Brand New,10500,Greater Accra
HP,8.0,SSD,I7,Used,3000,Greater Accra
HP,8.0,SSD,I5,Brand New,6000,Greater Accra
HP,4.0,HDD,I3,Brand New,8992,Greater Accra
HP,8.0,SSD,I5,Used,3500,Greater Accra
HP,8.0,SSD,I5,Used,4400,Greater Accra
HP,8.0,SSD,I5,Brand New,8000,Greater Accra
HP,8.0,SSD,I5,Used,3299,Greater Accra
HP,16.0,SSD,I7,Used,7500,Greater Accra
HP,8.0,SSD,I5,Brand New,7500,Greater Accra
Dell,8.0,SSD,I5,Used,2500,Ashanti
Dell,8.0,SSD,I5,Brand New,11000,Greater Accra
Dell,8.0,SSD,I5,Used,3000,Greater Accra
Lenovo,16.0,SSD,I5,Brand New,7999,Greater Accra
Dell,4.0,HDD,I3,Used,1800,Greater Accra
Asus,8.0,HDD,I7,Used,2150,Greater Accra
